iso2,year,gdp_per_capita_usd
XD,2024,50302.6052129514
XE,2024,1216.37508472564
XF,2024,8219.91265703844
XG,2024,1485.92227405633
XH,2024,1650.63788113049
XI,2024,1398.11181264033
XJ,2024,10382.3911125152
XK,2024,7023.06598512878
XL,2024,1293.40100322932
XM,2024,751.322764042233
XN,2024,2544.49245457752
XO,2024,6002.45120765259
XP,2024,6554.37054933497
XQ,2024,2971.05462651558
XT,2024,10996.101696107
XU,2024,81275.8436781762
Z4,2024,13405.735673015
Z7,2024,31555.5207890657
ZA,2024,6267.186814093
ZF,2024,1576.69166875191
ZG,2024,1532.92763550207
ZH,2024,1615.39635562849
ZI,2024,1411.33702938476
ZJ,2024,10737.6463538652
ZM,2024,1187.10943350064
ZQ,2024,6265.44445247452
ZT,2024,6327.1439970487
ZW,2024,2497.20332208763
